method,task,lr,batch,hp_name,hp_value
pointLTR,speed_humps,1e-3,bs=1,,
pointLTR,sp_synth,5e-2,bs=1,,
pointLTR,sp_planted,1e-2,bs=1,,
pointLTR,pg_misspec,1e-1,bs=1,,
pointLTR,shortestpath,5e-3,bs=32,,
pairLTR,knapsack,1e-2,bs=32,,
pairLTR,knapsack-real,5e-2,bs=32,,
pairLTR,energy,1e-2,bs=32,,
pairLTR,budgetalloc,5e-3,bs=32,,
pairLTR,cubic,1e-2,bs=1,,
pairLTR,bipartitematching,1e-2,bs=4,,
pairLTR,portfolio,1e-3,bs=1,,
pairLTR,asurv,5e-2,bs=32,,
pairLTR,cook_county,1e-1,bs=32,,
pairLTR,speed_humps,1e-2,bs=1,,
pairLTR,sp_synth,5e-2,bs=1,,
pairLTR,sp_planted,5e-2,bs=1,,
pairLTR,pg_misspec,1e-2,bs=1,,
pairLTR,shortestpath,1e-3,bs=32,,
listLTR,knapsack,1e-2,bs=32,tau,0.1
listLTR,knapsack-real,5e-2,bs=1,tau,5
listLTR,energy,1e-2,bs=32,tau,0.5
listLTR,budgetalloc,5e-3,bs=1,tau,0.1
listLTR,cubic,5e-2,bs=1,tau,5
listLTR,bipartitematching,5e-2,bs=4,tau,0.5
listLTR,portfolio,1e-3,bs=1,tau,0.5
listLTR,asurv,5e-2,bs=32,tau,0.1
listLTR,cook_county,1e-1,bs=32,tau,0.1
listLTR,speed_humps,1e-1,bs=32,tau,0.1
listLTR,sp_synth,5e-2,bs=32,tau,0.5
listLTR,sp_planted,5e-2,bs=32,tau,0.5
listLTR,pg_misspec,1e-1,bs=1,tau,0.1
listLTR,shortestpath,1e-3,bs=32,,
lodl,knapsack,5e-2,full batch,num_samples,500
lodl,knapsack-real,1e-1,full batch,num_samples,500
lodl,energy,1e-1,bs=32,num_samples,1000
lodl,budgetalloc,1e-3,full batch,num_samples,2000
lodl,cubic,5e-2,full batch,num_samples,100
lodl,bipartitematching,5e-3,bs=4,num_samples,1000
lodl,portfolio,1e-3,bs=32,num_samples,1000
lodl,asurv,5e-2,full batch,num_samples,250
lodl,cook_county,5e-2,full batch,num_samples,2000
lodl,speed_humps,1e-1,full batch,num_samples,250
lodl,sp_synth,1e-1,bs=32,num_samples,2000
lodl,sp_planted,5e-2,bs=32,num_samples,1000
lodl,pg_misspec,1e-1,bs=32,num_samples,500
lodl,shortestpath,1e-1,bs=32,num_samples,250
perturb,knapsack,5e-3,full batch,n_samples,100
perturb,knapsack-real,5e-3,full batch,n_samples,100
perturb,energy,5e-3,bs=32,sigma,1.0
perturb,budgetalloc,1e-2,full batch,sigma,0.5
perturb,cubic,5e-2,bs=32,sigma,1.0
perturb,bipartitematching,1e-2,bs=4,sigma,1.0
perturb,portfolio,5e-2,bs=32,n_samples,50
perturb,asurv,1e-2,full batch,n_samples,25
perturb,cook_county,1e-2,full batch,n_samples,100
perturb,speed_humps,1e-2,full batch,sigma,5.0
perturb,sp_synth,1e-2,bs=32,n_samples,100
perturb,sp_planted,5e-3,bs=32,n_samples,100
perturb,pg_misspec,1e-1,bs=32,sigma,1.0
perturb,shortestpath,1e-2,bs=32,n_samples,5
pg,knapsack,1e-2,full batch,sigma,0.01
pg,knapsack-real,1e-1,bs=32,sigma,0.1
pg,energy,5e-2,bs=32,sigma,0.1
pg,budgetalloc,1e-3,bs=32,sigma,1.0
pg,cubic,1e-2,full batch,sigma,0.5
pg,bipartitematching,5e-2,full batch,sigma,0.05
pg,portfolio,1e-1,bs=32,sigma,0.5
pg,asurv,1e-1,bs=32,sigma,0.1
pg,cook_county,5e-2,full batch,sigma,0.1
pg,speed_humps,1e-1,full batch,sigma,0.05
pg,sp_synth,1e-1,full batch,sigma,1.0
pg,sp_planted,1e-2,bs=32,sigma,0.1
pg,pg_misspec,1e-1,bs=32,sigma,0.05
qptl,knapsack,5e-2,bs=32,tau,0.1
qptl,bipartitematching,1e-3,full batch,tau,0.1
qptl,portfolio,5e-3,full batch,tau,0.1
cpLayer,knapsack,1e-2,full batch,,
cpLayer,bipartitematching,1e-3,full batch,,
cpLayer,portfolio,1e-3,bs=32,,
dad,knapsack,1e-3,full batch,stein_weight,1.0
dad,knapsack-real,1e-3,full batch,stein_weight,0.1
dad,energy,1e-1,full batch,stein_weight,5.0
dad,budgetalloc,1e-3,full batch,stein_weight,2.0
dad,cubic,1e-1,bs=32,stein_weight,0.5
dad,bipartitematching,1e-1,bs=4,stein_weight,1.0
dad,portfolio,1e-1,bs=32,stein_weight,0.1
dad,asurv,5e-3,full batch,stein_weight,0.1
dad,cook_county,5e-3,full batch,stein_weight,0.5
dad,speed_humps,1e-3,full batch,stein_weight,0.5
dad,sp_synth,5e-2,bs=32,stein_weight,5.0
dad,sp_planted,1e-3,full batch,stein_weight,5.0
dad,pg_misspec,1e-2,full batch,stein_weight,0.1
dad,shortestpath,1e-2,full batch,stein_weight,2.0
